Network Name,Geography,Scale (No. Sensors),Owner / Operator,Funder(s),Sensor Type / Brand,Pollutants Measured,Data Availability,Primary Goals,Status (Apr 2026),Start Year,End Year (if applicable),Notes / Key Findings,Source / URL,Latitude,Longitude
Airly / Birmingham Schools,Birmingham (schools),~20-30 (est.),Birmingham City Council / Airly,Birmingham City Council,Airly sensors,"PM2.5, PM10, NO2",Airly platform; school signage,School AQ awareness; #TimeToAct campaign; behaviour change,Active (1-year initiative),~2024,,Educational signage at schools alongside sensors. Part of council's AQ awareness campaign targeting children and parents.,https://airly.org/en/,52.486,-1.89
Airly / AcSoft UK-wide,Multiple UK locations,200+,AcSoft (distributor) / various clients,"Various (councils, private sector)",Airly sensors (MCERTS-certified PM),"PM2.5, PM10, NO2",Airly Data Platform,Commercial distribution; public sector AQ monitoring,Active,~2023,,"AcSoft is UK integrator/distributor. 200+ sensors deployed, sales doubling. Expanding into public sector and community-focused projects.",https://airly.org/en/case-studies/smart-scalable-air-quality-monitoring-for-the-uk-market/,51.265,-1.088
Rugby Borough Council,"Rugby, Warwickshire",7,Rugby Borough Council,Rugby Borough Council,Airly sensors,"PM2.5, PM10, NO2",Council ASR reporting,Indicative screening for LAQM,Active,2023,,Small indicative network. Not reference-grade. Used for screening as per Defra LAQM guidance (FAQ 140/148).,https://laqm.defra.gov.uk,52.371,-1.264
South Cambridgeshire,South Cambridgeshire,3,South Cambridgeshire District Council,South Cambridgeshire District Council,EarthSense Zephyr,"NO2, PM2.5, PM10",Council website / EarthSense portal,Short-term AQ studies; real-time indicative monitoring,Active,~2023,,Small deployment for targeted studies rather than permanent network.,https://scambs.gov.uk,52.145,0.098
RSSB Rail Station AQMN,"72 mainline stations (England, Scotland, Wales)",72 stations (diffusion tubes + selected LCS + reference),RSSB / Network Rail / Train Operating Companies,Department for Transport (£1m extension to 2030),AQMesh pods (at selected stations); diffusion tubes (all stations),"NO2, PM1, PM2.5, PM10, O3, CO, SO2, CO2",RSSB reports; some data via station plans,Rail-specific AQ evidence; DfT policy compliance; station air quality plans (all by end 2026),Active,2022,,"UK's first dedicated rail AQ monitoring programme. Originally 105 stations, reduced to 72 as many showed good AQ. AQMesh pods at selected stations for continuous data. 'Generally good' findings but some concerns at enclosed stations. Extended to 2030.",https://www.rssb.co.uk/sustainability/clean-air/air-quality-monitoring-for-the-rail-industry,52.5,-1.5
Sensor.Community UK,"UK-wide (distributed, urban/suburban)",~500-700 (est. from global map),Citizen volunteers (self-organised),Self-funded by individuals (~€30-50 per sensor),SDS011 / SPS30 (Sensirion) / BME280; DIY build,"PM2.5, PM10; some: temp, humidity, noise",Open data — sensor.community; API; archived datasets,Citizen science democratisation of AQ data; open data; community empowerment,Active,~2017,,"Formerly Luftdaten.info. Global network (35,000+ stations worldwide). UK presence concentrated in cities. Very low cost (£30-50 DIY). Variable data quality — no co-location calibration. European FILTER QC system applied to archive (13.2B observations). Bristol has active Sensor.Community cluster feeding into city dashboard.",https://sensor.community/en/,53.0,-1.5
BEACO2N Glasgow,"Glasgow, Scotland",~25,UC Berkeley / University of Strathclyde / Glasgow City Council,"Research funding (UC Berkeley, Stanford); Met Office; NPL",BEACO2N nodes (custom: electrochemical + OPC),"CO2, CO, NO, NO2, O3, PM2.5",beacon.berkeley.edu (public map/data),GHG + AQ monitoring; urban emissions research; COP26 legacy,Active,2021,,"~2km spacing. Part of global BEACO2N network (also Bay Area, LA, Providence). Launched for COP26. Uniquely measures CO2 alongside AQ pollutants. International collaboration (Berkeley, Stanford, Strathclyde, Met Office, NPL).",https://beacon.berkeley.edu,55.86,-4.251
Birmingham LoCoSA Research,Birmingham (mobile + fixed deployments),Variable (research campaigns),"University of Birmingham (Pope, Bousiotis, Harrison, Beddows)",NERC; university funding,Various LCS (OPC-based PM sensors); mobile platforms,"PM2.5, PM10 (size-resolved); some gases",Research datasets; publications,Low-Cost Source Apportionment (LoCoSA) methodology development; 100m-grid pollution mapping; citizen science SA,Active (research),~2020,,"Pioneering LoCoSA concept — using LCS for real-time source apportionment. Published in npj Climate and Atmospheric Science (2023), Science of Total Environment (2025). Mobile deployments achieving 100m-grid resolution. Strong connection to METIS/SLS work. Also deploying in Kampala, Uganda.",https://research.birmingham.ac.uk,52.479,-1.902
QUANT Study (York/Manchester/London),"Manchester (MAQS), London (LAQS), York (YoFi AURN)",49 devices from 14 manufacturers,University of York / University of Manchester / Imperial College London,NERC / Defra,"AQMesh, Aeroqual AQY, QuantAQ ARIsense, PurpleAir, EarthSense Zephyr","NO, NO2, O3, CO, CO2, PM1, PM2.5, PM10",Open data — CEDA archive; Zenodo; Shiny app,Systematic long-term evaluation of commercial LCS; PAS 4023 guidance development,Completed,2019,2022,"Most extensive open-access LCS evaluation globally. 3 years, 3 sites, 14 manufacturers. Led to PAS 4023:2024 (LCS selection/deployment/QA guidance). Key finding: performance varies hugely between manufacturers and pollutants. Open dataset on CEDA and Zenodo.",https://amt.copernicus.org/articles/17/3809/2024/,53.958,-1.08
NERC Air Quality Supersites,"Manchester, London, Birmingham",3 supersites (reference + LCS),University of Manchester / Imperial College / University of Birmingham,NERC (£4.3m via SPF OSCA project),Reference instruments + co-located LCS (various),"Comprehensive: PM speciation, gases, meteorology",Research datasets via CEDA,National AQ research infrastructure; LCS co-location and calibration; urban pollution characterisation,Active,~2019,,Part of UKRI Strategic Priorities Fund. Critical national infrastructure for LCS calibration and validation. Manchester supersite at Fallowfield. London ERG at Imperial. Birmingham at university campus.,https://www.imperial.ac.uk/air-quality/,53.472,-2.24
Newcastle-under-Lyme / Staffordshire,"Newcastle-under-Lyme, Staffordshire",18,Now Wireless / Staffordshire CC / Connected Places Catapult,Connected Places Catapult; Staffordshire CC,AirNodes (Now Wireless — electrochemical + OPC),"NO2, O3, PM2.5, PM10",Research publication (ACP 2022),Dense urban network evaluation; local vs regional PM source separation,Completed,2020,2021,"14-month deployment around ring road. Spectral analysis showed 54% of NO2 is local vs 38% of PM2.5. Avg NO2: 17.5 µg/m³, PM2.5: 8.1 µg/m³. Key paper: 'Are dense networks really useful?' (ACP 2022).",https://acp.copernicus.org/articles/22/13949/2022/,53.011,-2.228
Imperial WellHome Study,"White City, West London",100+ households,Imperial College London (NExAir group),Research funding (Imperial),Indoor AQ sensors (various LCS),"PM2.5, NO2, CO2, VOCs, temp, humidity",Research publication (expected 2024/25),Indoor/outdoor AQ in homes; children's asthma exposure; household-level sensor network,Active (research),~2023,,Unique focus on indoor residential AQ at scale. 100+ homes with children with asthma. Combines indoor and outdoor monitoring. Results expected late 2024 / early 2025.,https://www.imperial.ac.uk/air-quality/,51.51,-0.224
open-seneca,Cambridge + various UK (mobile campaigns),Variable (campaign-based),University of Cambridge (student-led),University of Cambridge; crowdfunding,Custom-built LCS (open-source design),PM2.5,Open data via project website,Citizen science AQ sensing; open-source hardware; community engagement,Active (intermittent),2018,,Student-led citizen science project. Open-source sensor designs. Mobile campaigns and community deployments. Focus on democratising AQ data.,https://www.open-seneca.org/,52.205,0.121
BT / Vortex National,Various UK locations,350+ deployed; 350+ planned,BT / Vortex IoT,BT; various councils,VTX Air (Vortex IoT),"PM2.5, PM10, NO2",Via BT/Vortex platforms,Leveraging BT telecom infrastructure for AQ monitoring; smart city services,Active,~2021,,BT partnership uses existing telecom infrastructure for sensor mounting and connectivity. Part of BT smart city offering.,https://vortexiot.com,52.5,-1.5
AQMesh Various UK,Multiple UK cities and sites,Unknown (many individual deployments),"Various (councils, rail, industry, research)",Various,AQMesh pods (Environmental Instruments Ltd),"NO, NO2, O3, CO, SO2, CO2, PM1, PM2.5, PM4, PM10, TPC",Varies by deployment,Regulatory screening; research; industrial; rail; construction,Active,~2012,,"UK-designed and manufactured (Stratford-upon-Avon). 500+ customers globally. Used in QUANT, RSSB rail network, school monitoring, industrial. 5-year warranty. Higher cost than basic LCS but more comprehensive pollutant suite.",https://www.aqmesh.com,52.5,-1.5
Clean Air for Bristol (Sensor.Community cluster),Bristol,~30-50 (est.),Clean Air for Bristol (community group) / citizens,Self-funded; some community grants,Sensor.Community DIY (SDS011/SPS30),"PM2.5, PM10",sensor.community + Bristol city dashboard (Jean Golding Institute),Citizen science; CAZ evaluation; community empowerment,Active,~2019,,Active community group. Data feeds into Bristol city dashboard alongside Defra and council data. Jean Golding Institute (University of Bristol) developed real-time traffic + AQ dashboard integrating citizen data.,https://www.cleanairforbristol.org,51.454,-2.587
SEPA CleanAir@School Programme,"East Renfrewshire, North Lanarkshire, Glasgow (schools across Scotland)",~8-12 schools (AQMesh pods + low-cost sensors),"SEPA / local authorities (East Renfrewshire Council, North Lanarkshire Council)",Scottish Government / SEPA (via CAFS2 strategy),AQMesh pods (3 in East Renfrewshire); low-cost PM sensors for schools,"NO2, PM2.5, PM10",School-level data; SEPA reporting; community displays,"School-gate AQ evidence for behaviour change; anti-idling campaigns; active travel promotion; citizen science education (1,200 pupils, 50 classes in 2024)",Active,~2020,,Pioneer programme. SEPA were early UK adopters of LCS for schools. Beat the Street initiative (£50k grant). Digital signage at school gates. Community Safety Officers patrol school gates 10hrs/week. Part of Cleaner Air for Scotland 2 (CAFS2) strategy delivery.,https://environment.gov.scot/our-environment/air/air-quality-projects/,55.796,-4.3
Stirlingshire Villages Project,"Stirlingshire villages: Aberfoyle, Doune, Deanston, Fintry, Kippen, Thornhill",Lamppost-mounted monitors + resident-deployed portable sensors (6 villages),University of Stirling / SEPA / Stirling Council,SEPA / Scottish Government,Lamppost-mounted LCS + portable PM sensors (loaned to residents),"PM2.5, PM10, NO2 (traffic + domestic combustion)",Public visualisations via SEPA; community workshops,Community empowerment; rural AQ evidence; solid fuel burning detection; behaviour change in villages,Completed,2022,2023,Novel rural deployment — most UK LCS networks are urban. One-month rotation per village. Detected solid fuel heating emissions and local pollution events. Residents borrowed sensors to distribute across villages. Community workshops with data visualisation. Model for rural AQ citizen science.,https://environment.gov.scot/our-environment/air/air-quality-projects/stirlingshire-villages-project/,56.117,-4.186
Forth-ERA (air quality component),"Forth catchment area, Central Scotland","AQ sensors within 1,000+ sensor digital observatory",University of Stirling / SEPA / Stirling & Clackmannanshire councils,UK Government (£5m) + Scottish Government (£17m) via City Region Deal,Multi-parameter environmental sensors (AQ + water + biodiversity),"PM2.5, PM10, NO2, and others",Interactive AQ dashboard (launched Jan 2025); open data,Catchment-scale digital observatory; real-time environmental monitoring; 'living laboratory' for Forth region,Active,~2023,,£22m total funding. First catchment-scale digital observatory in UK. AQ dashboard launched January 2025. 5G-enabled. Covers indoor + outdoor AQ. Also deployed sensors on SS Sir Walter Scott (Scotland's oldest steamship). Part of Scotland's International Environment Centre at Stirling.,https://www.stir.ac.uk/about/scotlands-international-environment-centre/environmental-data-services/forth-era/,56.117,-3.937
"Scotland LEZ Monitoring (Glasgow, Edinburgh, Dundee, Aberdeen)","Glasgow, Edinburgh, Dundee, Aberdeen city centres",Reference monitors + diffusion tubes (4 cities); some LCS,"Glasgow CC, Edinburgh CC, Dundee CC, Aberdeen CC / SEPA",Scottish Government / Transport Scotland / local authorities,Reference AURN monitors + diffusion tubes; some co-located LCS,"NO2, PM10, PM2.5, O3","scottishairquality.scot (public, real-time)",LEZ compliance monitoring and evaluation; evidence for Scotland's 4 LEZs (enforcement 2023-2024),Active,2022,,"Glasgow LEZ: 34% NO2 reduction within zone (2022-2024), first time meeting all AQ objectives since LAQM established. Edinburgh LEZ enforcement from Jun 2024. Dundee from May 2024. Aberdeen from Jun 2024. Primarily reference-grade but important context for any LCS work in Scotland. Review of monitoring around schools, hospitals, care homes planned.",https://www.scottishairquality.scot,55.953,-3.189
Belfast City Council (Zephyr Assessment),"Belfast, Northern Ireland",Multiple Zephyrs (number unspecified),Belfast City Council,Belfast City Council,EarthSense Zephyr,"NO2, PM2.5, PM10",Council reporting; ASR 2025,Detailed AQ assessment; emissions inventory; dispersion modelling input,Completed,2021,2023,"Part of a detailed assessment project (Feb 2021 - Mar 2023) combining Zephyr LCS, emissions inventory, and atmospheric dispersion modelling. NI councils increasingly using LCS but data not published on airqualityni.co.uk. Only identified LCS deployment in Northern Ireland.",https://www.airqualityni.co.uk,54.597,-5.93
Newcastle Urban Observatory,"Newcastle and Gateshead, Tyne and Wear",55 AQMesh + 6 reference stations,Newcastle University (Urban Observatory),Newcastle University; EPSRC,AQMesh pods,"NO2, O3, CO, PM1, PM2.5, PM10",Open data — urbanobservatory.ac.uk (freely available),"Smart city digital twin; multi-parameter urban monitoring (AQ, water, noise, traffic, energy); research infrastructure",Active,~2018,,"UK's first Urban Observatory. Part of a 600+ sensor network monitoring multiple urban parameters. Over 500 million data points collected. Free, open data. Used by researchers, councils, planners, public. Air Monitors Ltd supplied equipment.",https://www.urbanobservatory.ac.uk,54.978,-1.614
Newcastle Schools AQ Monitoring,Newcastle upon Tyne (22 schools),22,Newcastle University / Newcastle City Council,Newcastle City Council; university funding,AQMesh pods,"NO2, PM1, PM2.5, PM10","Research publication (Atmospheres, 2022)",School-gate exposure assessment; WHO guideline exceedance identification; children's health evidence,Completed,~2019,~2021,"Found several schools exceeded WHO short-term NO2, PM10, and PM2.5 guidelines. All 12 detailed study schools exceeded short-term PM2.5. Published in MDPI Atmospheres. Important evidence base for school streets policies.",https://www.mdpi.com/2073-4433/13/2/172,54.978,-1.61
Leicester City Council,Leicester (city-wide),23,Leicester City Council / EarthSense,Leicester City Council,EarthSense Zephyr,"NO2, PM10, PM2.5",EarthSense portal; council ASR 2025,City-wide PM mapping; public engagement in PM2.5 health impacts; LAQM evidence,Active,~2022,,"Started with 10 Zephyrs, expanded to 23. Contract runs to at least April 2026. All sites below AQ objectives in 2024. Highest PM2.5 annual avg: 8.7 µg/m³ (Blackbird Road). Expanding coverage pattern suggests ongoing commitment.",https://www.leicester.gov.uk,52.637,-1.14
Newport Eco Post Sensors,"Newport, Wales (6 locations)",6,Newport City Council,Newport City Council,Eco Post (first UK deployment),"NO2, PM (visual DAQI display)",Visual LED display on-unit; council reporting,Public-facing real-time AQ display; school-gate and AQMA monitoring; first UK Eco Post deployment,Active,2024,,"First Eco Post sensors in the UK. Locations: Caerphilly Road, Malpas Road, High Cross (school), city centre, Pillgwenlly school, Maindee. Visual traffic-light DAQI display on the units themselves. Novel street furniture approach.",https://www.newport.gov.uk/newsroom/2024/air-quality-sensors-installed-key-locations-across-city,51.588,-2.999
Welsh Government School Sensor Programme,Wales-wide (planned),TBD (bidding process),Welsh Government / local authorities,Welsh Government,TBD,TBD,Planned — school-based community networks,School-based community sensor networks; AQ education extending beyond classroom,Planned (2025-2028),2025,,"Part of 'Promoting awareness of air pollution in Wales: delivery plan 2025 to 2028'. Welsh Gov will provide opportunities for LAs to bid for monitoring equipment for schools. Aims to build school-based community sensor networks. Policy-driven, not yet deployed.",https://www.gov.wales/promoting-awareness-air-pollution-wales-delivery-plan-2025-2028-html,52.13,-3.78
Hampshire / tEC Citizen Science Network,"Hampshire (county-wide, 17 locations)",17,the Environment Centre (tEC) / University of Southampton,Community funding; University of Southampton,PM2.5 sensors (type unspecified),PM2.5,"Research publication (Vanderwel et al. 2024, Uni Southampton)",Neighbourhood-level PM2.5 mapping; citizen science; community engagement; solid fuel burning identification,Completed,2023,2024,Jan 2023 - Mar 2024. Found annual average PM2.5 exceeded WHO guidelines. Highest in winter evenings (solid fuel burning). Published by Vanderwel et al. University of Southampton. Community-led with tEC coordination. Model for county-scale citizen science.,https://environmentcentre.com,51.06,-1.31
Southampton Schools (Airly),Southampton (7 schools/kindergartens),7,Southampton City Council / Airly,Southampton City Council,Airly sensors,"PM1, PM2.5, PM10, NO2, O3",Airly Data Platform; LED displays at schools,School AQ awareness; real-time public display; behaviour change; policy evidence,Active,~2023,,Seven sensors at schools and kindergartens. LED colour displays and info panels at sites. Comprehensive pollutant suite including O3. Part of Airly's growing UK schools portfolio alongside Birmingham.,https://airly.org/en/case-studies/southampton-city-council/,50.909,-1.404
ABP Ports Network (EarthSense),"8+ ports: Lowestoft, King's Lynn, Hull, Immingham, Troon, Barrow, Newport, Barry, Southampton",16+ (doubled in 2024),Associated British Ports (ABP) / EarthSense,ABP (sustainability strategy),EarthSense Zephyr,"NO2, NO, O3, PM1, PM2.5, PM10",ABP internal; EarthSense portal,Port sustainability compliance; near-urban community AQ evidence; emissions monitoring,Active,~2022,,"ABP doubled its network in 2024. EarthSense provides managed service. Covers ports near urban centres (Southampton, Hull, Immingham). Important for port-adjacent community exposure. Growing sector — IMO emissions regulations driving demand.",https://www.earthsense.co.uk/post/associated-british-ports-doubles-its-air-quality-network-with-earthsense-zephyr-monitors,53.744,-0.347
Hutchison Ports (South Coast Science),"Felixstowe, Harwich International, London Thamesport",6 (2 per port),Hutchison Port Holdings / South Coast Science,Hutchison Port Holdings,Praxis/Urban (South Coast Science),"NO2, SO2, PM1, PM2.5, PM10, temp, humidity",Port operational use,Port emissions monitoring; SO2 measurement (shipping-relevant),Active,~2023,,"Solar-powered, 4G data transmission. Notably includes SO2 (shipping fuel emissions). South Coast Science is a UK company (Hampshire-based). Different sensor platform from ABP/EarthSense — shows sector diversity.",https://www.southcoastscience.com/three-uk-ports-take-lead-on-air-quality-monitoring/,51.954,1.352
Heathrow SNAQ,Heathrow Airport perimeter and flight paths,~30 nodes (research deployment),University of Cambridge / Heathrow Airport Ltd,Heathrow Airport; EPSRC,Custom nodes (Alphasense OPC + electrochemical),"NO, NO2, O3, CO, PM (size-resolved)",Research publications,Airport perimeter AQ characterisation; flight path emission mapping; sensor technology development (led to Alphasense OPC-N2 commercial product),Completed (legacy ongoing),~2013,~2016,"Foundational UK LCS project. Rod Jones (Cambridge) led. The sensor designs were commercialised by Alphasense as the OPC-N2 (now OPC-N3), which is now used in Aeternum, AQMesh, and many other devices globally. The SNAQ project essentially seeded the UK LCS hardware ecosystem.",https://www.researchgate.net/publication/258772595,51.47,-0.454
University of Surrey GCARE / Guildford,Guildford town centre,"10 (indoor, town centre building)",University of Surrey (GCARE) / Zero Carbon Guildford,Higher Education Innovation Fund (RealAir project),Low-cost PM sensors (type unspecified),PM (multiple size fractions),Research publication (Sustainable Horizons); public display,Real-time public-facing AQ display; citizen science; behaviour change; community empowerment,Active (intermittent),~2024,,Guildford Living Lab collaboration. 5-month study with Zero Carbon Guildford volunteers. Emoji-based public display of pollution levels. Published in Sustainable Horizons. GCARE (Prashant Kumar group) is a major UK AQ research centre. UKRI project ongoing — showcased at Swindon Festival of Tomorrow 2026.,https://www.surrey.ac.uk/global-centre-clean-air-research,51.237,-0.572
University of Exeter SmogOff,Exeter (community groups),Variable (citizen science kit),University of Exeter,University of Exeter (public engagement funding),Custom open-source design (SmogOff),PM (air pollution),Community-held data,Open-source sensor design for community replication; citizen science; public engagement with research,Active (research),2025,,Re-designed sensor system for community self-build. Sent to 3 community groups for testing. Focus on accessibility and replicability. Public engagement with research model. Early stage but interesting open-source approach.,https://sites.exeter.ac.uk/per/2026/02/09/smogoff-community-testing-of-air-pollution/,50.724,-3.527
West Norfolk (single Zephyr),"King's Lynn, West Norfolk",1,Borough Council of King's Lynn & West Norfolk,Borough council,EarthSense Zephyr,"NO2, PM2.5, PM10",Council ASR; EarthSense portal,Targeted hot-spot monitoring at highest-NO2 location (Railway Road),Active,2024,,Single sensor at the council's highest-pollution site. Typical of very small councils dipping a toe into LCS. Installed June 2024. Shows EarthSense penetration even at the single-unit level.,https://www.west-norfolk.gov.uk,52.753,0.395
